country,ICAO,IATA,city,name,latitude,longitude,timezone,city_en,name_en
US,KALW,ALW,Walla Walla,Walla Walla Regional,46.09,-118.279999,America/Los_Angeles,Walla Walla,Walla Walla
US,KAMA,AMA,Amarillo,Rick Husband Amarillo,35.21936,-101.705002,America/Chicago,Amarillo,Amarillo Rick Husband
US,KANB,ANB,Anniston,Anniston Metropolitan,33.588199,-85.8581,America/Chicago, , 
US,KAND,AND,Andersen,Anderson Regional,34.494598,-82.709396,America/New_York, , 
US,KANP,ANP,Annapolis,Lee,38.942902,-76.568398,America/New_York, , 
US,KANQ,ANQ,Angola,Tri State Steuben County,41.639702,-85.083504,America/New_York, , 
US,KAOH,AOH,利马,利马 Allen County,40.706902,-84.026703,America/New_York, , 
US,KAOO,AOO,Altoona,Altoona Blair County,40.296371,-78.32,America/New_York,Altoona,Altoona Blair County
US,KAPA,APA,丹佛,Centennial,39.570098,-104.848999,America/Denver, , 
US,KAPC,APC,Napa,Napa County,38.2132,-122.280998,America/Los_Angeles, , 
US,KAPF,APF,Naples,Naples Municipal,26.152201,-81.775703,America/New_York,Naples,Naples Municipal
US,KAPG,APG,Aberdeen,Phillips Army Air Field,39.466202,-76.1688,America/New_York, , 
US,KAPN,APN,Alpena,Alpena County Regional,45.081669,-83.555832,America/New_York,Alpena,Alpena County Regional
US,KARA,ARA,Louisiana,Acadiana Regional,30.03775,-91.883797,America/Chicago,New Iberia,New Iberia Acadiana Regional
US,KARB,ARB,Ann Arbor,Ann Arbor Municipal,42.222999,-83.745597,America/New_York, , 
US,KART,ART,Watertown,Watertown,43.99192,-76.021698,America/New_York,Watertown,Watertown
US,KARV,ARV,Minocqua - Woodruff,Lakeland-Noble F. Lee Memorial field,45.927898,-89.730903,America/Chicago, , 
US,KARW,BFT,Beaufort,Beaufort County,32.4122,-80.634399,America/New_York, , 
US,KASE,ASE,Aspen,Aspen-Pitkin Co/Sardy Field,39.22316,-106.867996,America/Denver,Aspen,Aspen Pitkin County
US,KASH,ASH,Nashua,Boire Field,42.7817,-71.514801,America/New_York, , 
US,KAST,AST,Astoria,Astoria Regional,46.158,-123.878997,America/Los_Angeles, , 
US,KATL,ATL,亚特兰大,Hartsfield Jackson Atlanta,33.636719,-84.428001,America/New_York,Atlanta,Atlanta Hartsfield-Jackson
US,KATW,ATW,Appleton,Appleton,44.258091,-88.518997,America/Chicago,Appleton,Appleton
US,KATY,ATY,Watertown,Watertown Regional,44.913971,-97.154701,America/Chicago,Watertown,Watertown Regional
US,KAUG,AUG,Augusta,Augusta State,44.320648,-69.797302,America/New_York,Augusta,Augusta State
US,KAUO,AUO,Auburn,Auburn Opelika Robert G. Pitts,32.615101,-85.433998,America/Chicago,Auburn,Auburn University Regional
US,KAUS,AUS,Austin,Austin Bergstrom,30.194521,-97.6698,America/Chicago,Austin,Austin Bergstrom
US,KAUW,AUW,Wausau,Wausau Downtown,44.9262,-89.626602,America/Chicago, , 
US,KAVL,AVL,Asheville,Asheville Regional,35.436192,-82.541801,America/New_York,Asheville,Asheville Regional
US,KAVO,AVO,Avon Park,Avon Park Executive,27.591199,-81.527801,America/New_York, , 
US,KAVP,AVP,Scranton,Wilkes Barre Scranton,41.33847,-75.723297,America/New_York,Avoca,Avoca Wilkes-Barre/Scranton
US,KAVQ,AVW,Tucson,Marana Regional,32.409599,-111.218002,America/Phoenix, , 
US,KAVX,AVX,Catalina Island,Catalina,33.4049,-118.416,America/Los_Angeles, , 
US,KAZO,AZO,Kalamazoo,Kalamazoo Battle Creek,42.23,-85.550003,America/New_York,Kalamazoo,Kalamazoo Battle Creek
US,KBAB,BAB,Marysville,Beale Air Force Base,39.1361,-121.436996,America/Los_Angeles, , 
US,KBAD,BAD,Shreveport,Barksdale Air Force Base,32.5018,-93.662696,America/Chicago, , 
US,KBAF,BAF,Westfield,Westfield-Barnes Regional,42.157799,-72.715599,America/New_York, , 
US,KBCE,BCE,Bryce Canyon,Bryce Canyon,37.706401,-112.144996,America/Denver, , 
US,KBCT,BCT,Boca Raton,Boca Raton,26.3785,-80.107597,America/New_York,Boca Raton,Boca Raton
US,KBDE,BDE,Baudette,Baudette,48.728401,-94.612197,America/Chicago, , 
