country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name,2019旅客,2018旅客,2019货物,2018货物,2019起降,2018起降
CN,ZLDH,DNH,Dunhuang,Dunhuang Airport,40.16111,94.809158,Asia/Shanghai,敦煌,敦煌机场,901960,757672,606.8,422.4,8201,7661
CN,ZLDL,HXD,Delingha,Delingha Airport,37.125,97.268608,Asia/Shanghai,海西,海西德令哈机场,107563,107354,1201.5,723.0,1889,1324
CN,ZLGL,GMQ,Golog,Golog Maqin Airport,34.415833,100.311111,Asia/Shanghai,果洛,果洛玛沁机场,135125,125139,1243.1,444.5,1388,1190
CN,ZLGM,GOQ,Golmud,Golmud Airport,36.4006,94.786102,Asia/Shanghai,格尔木,格尔木机场,227098,183683,1739.0,1255.7,3235,2444
CN,ZLGY,GYU,Guyuan,Guyuan Liupanshan Airport,36.07,106.209999,Asia/Shanghai,固原,固原六盘山机场,379418,226235,60.2,24.9,24482,22436
CN,ZLHX,HTT,Huatugou,Huatugou Airport,38.256275,90.830353,Asia/Shanghai,海西,海西花土沟机场,78753,77077,345.9,136.9,1353,887
CN,ZLHZ,HZG,Hanzhong,Hanzhong Chenggu Airport,33.063599,107.008003,Asia/Shanghai,汉中,汉中城固机场,651284,494960,2213.5,1156.1,13383,14439
CN,ZLIC,INC,Yinchuan,Yinchuan Hedong International Airport,38.322769,106.393303,Asia/Shanghai,银川,银川河东国际机场,10575393,8944837,61245.8,50733.5,84734,75635
CN,ZLJC,JIC,Jinchang,Jinchang Jinchuan Airport,38.541943,102.347778,Asia/Shanghai,金昌,金昌金川机场,193976,174000,164.9,112.9,2202,2018
CN,ZLJQ,JGN,Jiayuguan,Jiayuguan Airport,39.830002,98.410004,Asia/Shanghai,嘉峪关,嘉峪关机场,580971,561393,1801.9,1398.0,5089,5261
CN,ZLLL,LHW,Lanzhou,Lanzhou Zhongchuan International Airport,36.51524,103.620697,Asia/Shanghai,兰州,兰州中川国际机场,15302975,13858151,72001.6,61450.4,119183,109902
CN,ZLLN,LNL,Longnan,Longnan Cheng Xian Airport,33.787998,105.796997,Asia/Shanghai,陇南,陇南成县机场,282041,147216,157.6,17.1,3369,2193
CN,ZLQY,IQN,Qingyang,Qingyang Airport,35.799702,107.602997,Asia/Shanghai,庆阳,庆阳西峰机场,488805,419674,230.2,67.0,22558,21699
CN,ZLTS,THQ,Tianshui,Tianshui Maijishan Airport,34.558334,105.861115,Asia/Shanghai,天水,天水麦积山机场,201567,179691,176.4,97.5,3498,3172
CN,ZLXH,GXH,Xiahe,Xiahe Gannan Airport,34.810555,102.644722,Asia/Shanghai,甘南,甘南夏河机场,86091,122024,241.8,314.5,1400,1928
CN,ZLXN,XNN,Xining,Xining Caojiabao Airport,36.525322,102.037537,Asia/Shanghai,西宁,西宁曹家堡国际机场,7226518,6339622,41030.7,33879.1,61218,55064
CN,ZLXY,XIY,Xi'an,Xi'an Xianyang International Airport,34.447109,108.751503,Asia/Shanghai,西安,西安咸阳国际机场,47220547,44653311,381869.6,312637.1,345748,330477
CN,ZLYA,ENY,Yan'an,Yan'an Nanniwan Airport,36.636902,109.554001,Asia/Shanghai,延安,延安南泥湾机场,686240,386548,1161.1,582.0,6775,3760
CN,ZLYL,UYN,Yulin,Yulin Yuyang Airport,38.274166,109.730278,Asia/Shanghai,榆林,榆林榆阳机场,2531468,2090209,8017.6,5527.1,23906,20835
CN,ZLYS,YUS,Yushu,Yushu Batang Airport,32.839466,97.037788,Asia/Shanghai,玉树,玉树巴塘机场,318714,302796,1771.9,902.8,3578,3704
CN,ZLZW,ZHY,Zhongwei,Zhongwei Airport,37.568935,105.152527,Asia/Shanghai,中卫,中卫沙坡头机场,265650,243519,419.9,178.2,46968,38737
CN,ZLZY,YZY,Zhangye,Zhangye Ganzhou Airport,38.801945,100.675003,Asia/Shanghai,张掖,张掖甘州机场,213714,176848,398.3,159.8,1884,1618
CN,ZPBS,BSD,Baoshan,Baoshan Yunduan Airport,25.055182,99.16143,Asia/Shanghai,保山,保山云瑞机场,1228964,1016018,1555.5,1364.0,11047,9423
CN,ZPCW,CWJ,Cangyuan,Cangyuan Washan Airport,23.273478,99.369987,Asia/Shanghai,沧源,沧源佤山机场,337203,164598,98.8,48.0,2944,1548
CN,ZPDL,DLU,Dali,Dali Airport,25.649401,100.319,Asia/Shanghai,大理,大理机场,1773857,1776364,6870.6,6723.9,17331,17293
CN,ZPDQ,DIG,Shangri-La,Shangri-La Diqing Airport,27.793333,99.67733,Asia/Shanghai,迪庆,迪庆香格里拉机场,617941,592253,772.1,1047.0,6852,6682
CN,ZPJH,JHG,Jinghong,Jinghong Xishuangbanna Gasa Airport,21.973421,100.766457,Asia/Shanghai,西双版纳,西双版纳嘎洒国际机场,5524284,4446247,8418.2,13207.2,43034,34828
CN,ZPJM,JMJ,Lancang,Lancang Jingmai Airport,22.415833,99.786392,Asia/Shanghai,澜沧,澜沧景迈机场,453411,232793,176.3,30.8,5076,2514
CN,ZPLC,LNJ,Lincang,Lincang Airport,23.738333,100.025002,Asia/Shanghai,临沧,临沧博尚机场,470174,440867,720.2,651.0,5028,4106
CN,ZPLJ,LJG,Lijiang,Lijiang Sanyi Airport,26.683332,100.25,Asia/Shanghai,丽江,丽江三义国际机场,7173986,7529935,12616.0,11329.9,54255,56932
CN,ZPMS,LUM,Mangshi,Mangshi Airport,24.405279,98.531898,Asia/Shanghai,德宏,德宏芒市机场,2122958,1813896,10758.9,8330.2,18160,15528
CN,ZPNL,NLH,Ninglang,Ninglang Luguhu Airport,27.542559,100.759323,Asia/Shanghai,宁蒗,宁蒗泸沽湖机场,215886,163599,62.4,43.6,2168,1622
CN,ZPPP,KMG,Kunming,Kunming Changshui International Airport,25.101944,102.929169,Asia/Shanghai,昆明,昆明长水国际机场,48075978,47088140,415776.3,428292.1,357080,360785
CN,ZPSM,SYM,Pu'er,Pu'er Simao Airport,22.79657,100.962219,Asia/Shanghai,普洱,普洱思茅机场,620978,639929,1273.7,1171.9,7851,7540
CN,ZPTC,TCZ,Tengchong,Tengchong Tuofeng Airport,24.939379,98.482025,Asia/Shanghai,腾冲,腾冲驼峰机场,1367494,1170230,3005.7,2265.0,12542,10691
CN,ZPWS,WNH,Wenshan,Wenshan Puzhehei Airport,23.374907,104.242561,Asia/Shanghai,文山,文山普者黑机场,165426,159749,105.9,60.6,11662,13084
CN,ZPZT,ZAT,Zhaotong,Zhaotong Airport,27.316668,103.800003,Asia/Shanghai,昭通,昭通机场,369390,346579,334.4,479.1,4220,4058
CN,ZSAM,XMN,Xiamen,Xiamen Gaoqi International Airport,24.544029,118.127701,Asia/Shanghai,厦门,厦门高崎国际机场,27413363,26553438,330511.6,345529.1,192929,193385
CN,ZSAQ,AQG,Anqing,Anqing Tianzhushan Airport,30.582222,117.050278,Asia/Shanghai,安庆,安庆天柱山机场,592913,477634,2310.1,1727.9,6076,4964
CN,ZSCG,CZX,Changzhou,Changzhou Benniu International Airport,31.91972,119.778603,Asia/Shanghai,常州,常州奔牛国际机场,4052342,3327722,33161.0,28170.1,55446,45676
CN,ZSCN,KHN,Nanchang,Nanchang Changbei International Airport,28.865,115.900002,Asia/Shanghai,南昌,南昌昌北国际机场,13637151,13524159,122517.3,82604.4,108036,108614
CN,ZSDY,DOY,Dongying,Dongying Shengli Airport,37.510277,118.784447,Asia/Shanghai,东营,东营胜利机场,880145,691122,488.4,297.3,45718,34670
CN,ZSFY,FUG,Fuyang,Fuyang Xiguan Airport,32.882156,115.734367,Asia/Shanghai,阜阳,阜阳西关机场,922159,799575,569.4,383.8,14717,15505
CN,ZSFZ,FOC,Fuzhou,Fuzhou Changle International Airport,25.935061,119.6632,Asia/Shanghai,福州,福州长乐国际机场,14760226,14393532,131071.5,133189.4,112746,110243
CN,ZSGZ,KOW,Ganzhou,Ganzhou Huangjin Airport,25.851667,114.776665,Asia/Shanghai,赣州,赣州黄金机场,2088731,1625224,5664.9,5063.1,17789,14998
CN,ZSHC,HGH,Hangzhou,Hangzhou Xiaoshan International Airport,30.2295,120.434402,Asia/Shanghai,杭州,杭州萧山国际机场,40108405,38241630,690275.9,640896.0,290919,284893
CN,ZSJA,JGS,Ji'an,Ji'an Airport,26.899721,114.737503,Asia/Shanghai,吉安,吉安井冈山机场,870195,658062,413.6,2534.9,8864,6990
CN,ZSJD,JDZ,Jingdezhen,Jingdezhen Luojia Airport,29.33861,117.175797,Asia/Shanghai,景德镇,景德镇罗家机场,583033,513632,792.9,647.4,6204,5065
CN,ZSJG,JNG,Jining,Jining Qufu,35.290001,116.339996,Asia/Shanghai,济宁,济宁曲阜机场,1487810,1221518,2974.9,2659.7,11608,10178
CN,ZSJH,JUH,Chizhou,Chizhou Jiuhuashan Airport,30.740278,117.686668,Asia/Shanghai,池州,池州九华山机场,524471,450910,934.6,834.7,5638,4880
CN,ZSJN,TNA,Jinan,Jinan Yaoqiang International Airport,36.857208,117.215897,Asia/Shanghai,济南,济南遥墙国际机场,17560507,16611795,135263.0,113627.9,129994,126828
CN,ZSJU,JUZ,Quzhou,Quzhou Airport,28.965799,118.899002,Asia/Shanghai,衢州,衢州机场,404092,251032,839.4,750.2,3604,2034
CN,ZSLD,LCX,Longyan,Longyan Guanzhishan Airport,25.6747,116.747002,Asia/Shanghai,龙岩,龙岩冠豸山机场,229087,205031,454.6,359.0,2192,1938
CN,ZSLG,LYG,Lianyungang,Lianyungang Baitabu Airport,34.571659,118.873596,Asia/Shanghai,连云港,连云港白塔埠机场,1922824,1516195,3342.9,2906.4,18118,14978
CN,ZSLQ,HYN,Huangyan,Huangyan Luqiao Airport,28.56222,121.428596,Asia/Shanghai,台州,台州路桥机场,1381321,1112199,10278.5,7581.4,10333,8268
CN,ZSLY,LYI,Linyi,Linyi Shubuling Airport,35.046112,118.411667,Asia/Shanghai,临沂,临沂启阳国际机场,2580823,2006104,10245.5,8036.5,21601,16953
CN,ZSNB,NGB,Ningbo,Ningbo Lishe International Airport,29.826679,121.461899,Asia/Shanghai,宁波,宁波栎社国际机场,12414007,11718416,106120.2,105673.2,89487,85434
