country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
RU,BTK,UIBB,Bratsk,Bratsk,56.370601,101.697998,Asia/Irkutsk,,
RU,BWO,UWSB,Balakovo,Balakovo,51.858299,47.745601,Europe/Moscow,,
RU,BZK,UUBP,Bryansk,Bryansk,53.214199,34.176399,Europe/Moscow,,
RU,CEE,ULBC,Cherepovets,Cherepovets,59.273601,38.0158,Europe/Moscow,,
RU,CEK,USCC,Chelyabinsk,Chelyabinsk Balandino,55.305801,61.5033,Asia/Yekaterinburg,,
RU,CKH,UESO,Chokurdah,Chokurdakh,70.6231,147.901992,Asia/Srednekolymsk,,
RU,CKL,UUMU,Shchyolkovo,Chkalovskiy Air Base,55.8783,38.061699,Europe/Moscow,,
RU,CSH,ULAS,Solovetsky Islands,Solovki,65.029998,35.733333,Europe/Moscow,,
RU,CSY,UWKS,Cheboksary,Cheboksary,56.090301,47.347301,Europe/Moscow,,
RU,CYX,UESS,Cherskiy,Cherskiy,68.7406,161.337997,Asia/Srednekolymsk,,
RU,DKS,UODD,Dikson,Dikson,73.517807,80.379669,Asia/Krasnoyarsk,,
RU,DME,UUDD,莫斯科,Domodedovo,55.408779,37.906311,Europe/Moscow,Moscow,Moscow Domodedovo
RU,DYR,UHMA,Anadyr,Ugolny,64.734902,177.740997,Asia/Anadyr,,
RU,EGO,UUOB,Belgorod,Belgorod,50.643798,36.590099,Europe/Moscow,,
RU,EIE,UNII,Yeniseysk,Yeniseysk,58.474201,92.112503,Asia/Krasnoyarsk,,
RU,EIK,URKE,Eysk,Yeysk,46.68,38.21,Europe/Moscow,,
RU,ERG,UIKE,Yerbogachen,Yerbogachen,61.275001,108.029998,Asia/Irkutsk,,
RU,ESL,URWI,Elista,Elista,46.373901,44.330898,Europe/Moscow,,
RU,EYK,USHY,Beloyarsky,Beloyarskiy,63.686901,66.698601,Asia/Yekaterinburg,,
RU,EZV,USHB,Berezovo,Berezovo,63.921001,65.030502,Asia/Yekaterinburg,,
RU,GDX,UHMM,Magadan,Sokol,59.910999,150.720001,Asia/Srednekolymsk,,
RU,GDZ,URKG,Gelendzhik,Gelendzhik,44.582092,38.01248,Europe/Moscow,,
