country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
US,KRKD,RKD,Rockland,Rockland Knox County Regional,44.059166,-69.098053,America/New_York,Rockland,Knox County Regional
US,KRKP,RKP,,,28.086799,-97.044601,America/Chicago,Rockport,Aransas County
US,KRKS,RKS,Rock Springs,Rock Springs Sweetwater County,41.59639,-109.065834,America/Denver,Rock Springs,Southwest Wyoming Regional
US,KRME,RME,,,43.233798,-75.406997,America/New_York,罗马,Griffiss
US,KRMG,RMG,,,34.350601,-85.157997,America/New_York,罗马,Richard B Russell
US,KRND,RND,,,29.529699,-98.2789,America/Chicago,San Antonio,Randolph Air Force Base
US,KRNO,RNO,Reno,Reno Tahoe,39.499111,-119.767998,America/Los_Angeles,Reno,Reno Tahoe
US,KRNT,RNT,,,47.493099,-122.216003,America/Los_Angeles,Renton,Renton Municipal
US,KROA,ROA,Roanoke,Roanoke Regional,37.32,-79.970001,America/New_York,Roanoke VA,Roanoke-Blacksburg Regional
US,KROC,ROC,Rochester,Rochester,43.118858,-77.672302,America/New_York,Rochester,Greater Rochester
US,KROW,ROW,Roswell,Roswell International Air Center,33.301552,-104.529999,America/Denver,Roswell,RoswellAir Center
US,KRST,RST,Rochester,Rochester,43.908272,-92.5,America/Chicago,Rochester,Rochester
US,KRSW,RSW,Fort Myers,Southwest Florida,26.53616,-81.755096,America/New_York,Fort Myers,Southwest Florida
US,KRUT,RUT,Rutland,Rutland Southern Vermont Regional,43.529446,-72.948334,America/New_York,Rutland,Rutland - Southern Vermont Regional
US,KRVS,RVS,,,36.0396,-95.984596,America/Chicago,Tulsa,Richard Lloyd Jones Jr
US,KRWI,RWI,,,35.8563,-77.891899,America/New_York,Rocky Mount,Rocky Mount Wilson Regional
US,KRWL,RWL,,,41.805599,-107.199996,America/Denver,Rawlins,Rawlins Municipal /Harvey Field
US,KS39,PRZ,,,44.286998,-120.903999,America/Los_Angeles,Prineville,Prineville
US,KSAA,SAA,,,41.444901,-106.823997,America/Denver,SARATOGA,Shively Field
US,KSAC,SAC,Sacramento,Sacramento Executive,38.51252,-121.492996,America/Los_Angeles,Sacramento,Sacramento Executive
US,KSAD,SAD,,,32.854801,-109.635002,America/Phoenix,Safford,Safford Regional
US,KSAF,SAF,Santa Fe,Santa Fe Municipal,35.6171,-106.088997,America/Denver,Santa Fe,Santa Fe Municipal
