country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZLDH,DNH,敦煌,Dunhuang,敦煌机场,Dunhuang,40.16111,94.809158,Asia/Shanghai
CN,ZLDL,HXD,德令哈,,德令哈机场,,37.128611,97.266388,Asia/Shanghai
CN,ZLGL,GMQ,果洛,Golog,果洛玛沁机场,Golog Maqin Airport,34.42172,100.30151,Asia/Shanghai
CN,ZLGM,GOQ,格尔木,Golmud,格尔木机场,Golmud,36.4006,94.786102,Asia/Shanghai
CN,ZLGY,GYU,固原,Guyuan,固原六盘山机场,Guyuan Liupanshan,36.07,106.209999,Asia/Shanghai
CN,ZLHX,HTT,茫崖,,茫崖花土沟机场,,38.203333,90.841666,Asia/Shanghai
CN,ZLHZ,HZG,汉中,Hanzhong,汉中城固机场,Hanzhong Chenggu,33.063599,107.008003,Asia/Shanghai
CN,ZLIC,INC,银川,Yinchuan,银川河东国际机场,Yinchuan Hedong,38.322769,106.393303,Asia/Shanghai
CN,ZLJC,JIC,金昌,Jinchang,金昌金川机场,Jinchuan,38.541943,102.347778,Asia/Shanghai
CN,ZLJQ,JGN,嘉峪关,Jiayuguan,嘉峪关机场,Jiayuguan,39.830002,98.410004,Asia/Shanghai
CN,ZLLL,LHW,兰州,Lanzhou,兰州中川国际机场,Lanzhou Zhongchuan,36.51524,103.620697,Asia/Shanghai
CN,ZLLN,LNL,陇南,Longnan,陇南成县机场,Longnan Cheng Xian,33.787998,105.796997,Asia/Shanghai
CN,ZLQY,IQN,庆阳,Qingyang,庆阳西峰机场,Qingyang,35.799701,107.602997,Asia/Shanghai
CN,ZLTS,THQ,天水,Tianshui,天水麦积山机场,Maijishan,34.558334,105.861115,Asia/Shanghai
CN,ZLXH,GXH,甘南,Gannan,甘南夏河机场,Gannan Xiahe,34.810555,102.644722,Asia/Shanghai
CN,ZLXN,XNN,西宁,Xining,西宁曹家堡国际机场,Xining Caojiabao,36.525322,102.037537,Asia/Shanghai
CN,ZLXY,XIY,西安,Xi'an,西安咸阳国际机场,Xianyang,34.447109,108.751503,Asia/Shanghai
CN,ZLYA,ENY,延安,Yan'an,延安南泥湾机场,Yan'an Ershilipu,36.636902,109.554001,Asia/Shanghai
CN,ZLYL,UYN,榆林,Yulin,榆林榆阳机场,Yulin Yuyang,38.274166,109.730278,Asia/Shanghai
CN,ZLYS,YUS,玉树,Yushu,玉树巴塘机场,Yushu Batang,32.839466,97.037788,Asia/Shanghai
CN,ZLZW,ZHY,中卫,Zhongwei,中卫沙坡头机场,Zhongwei,37.568935,105.152527,Asia/Shanghai
CN,ZLZY,YZY,张掖,Zhangye,张掖甘州机场,Ganzhou,38.801945,100.675003,Asia/Shanghai
CN,ZPBS,BSD,保山,Baoshan,保山云瑞机场,Baoshan Yunduan,25.055182,99.16143,Asia/Shanghai
CN,ZPCW,CWJ,沧源,Cangyuan,沧源佤山机场,Cangyuan Washan,23.273478,99.369987,Asia/Shanghai
CN,ZPDL,DLU,大理,Dali,大理机场,Dali,25.649401,100.319,Asia/Shanghai
CN,ZPDQ,DIG,迪庆,Shangri-La,迪庆香格里拉机场,Shangri-La Diqing,27.793333,99.67733,Asia/Shanghai
